"site","date_m.d.y","time","total_cross_section_cm2","flow_rate_L.s","surface_tension_adjusted_flow_rate._L.s","year","month","day","DOY"
"w002Rm",2023-03-24,"11:50","N/A","3.491341991","N/A",2023,3,24,83
"w002Rm",2023-03-28,"10:37","N/A","4.629787331","N/A",2023,3,28,87
"w004Rm",2023-04-20,"9:50","450","13.08370044","6.54185022",2023,4,20,110
"w007Lm",2023-04-20,"12:35","269","3.696183206","1.848091603",2023,4,20,110
"w001Rm",2024-02-29,"11:17","510.54","25.63380753","12.81690377",2024,2,29,60
"w003Rm",2024-02-29,"12:55","539.75","47.76548673","23.88274336",2024,2,29,60
"w004Rm",2024-02-29,"13:18","1018.54","25.5273183","12.76365915",2024,2,29,60
"w007Lm",2024-02-29,"14:30","1564.64","67.78223827","33.89111913",2024,2,29,60
"w009Lm",2024-02-29,"15:15","3263.9","105.2305212","52.61526061",2024,2,29,60
"w007Lm",2024-03-01,"11:30","1385","59.35714286","29.67857143",2024,3,1,61
"w009Lm",2024-03-01,"10:42","2768","98.85714286","49.42857143",2024,3,1,61
"w009Lm",2023-04-20,"13:10","754","2.47363305","1.236816525",2023,4,20,110
"w001Rm",2023-04-20,"11:22","113","0","0",2023,4,20,110
"w003Rm",2023-04-20,"10:45","0","0","0",2023,4,20,110
"w010im",2023-04-20,"13:40","1514","15.09130435","7.545652174",2023,4,20,110
"w008im",2023-04-20,"13:00","186.0817132","4.107714538","2.053857269",2023,4,20,110
"w006Rm",2023-04-20,"12:20","451.2944829","25.58756935","12.79378467",2023,4,20,110
"w002Rm",2023-04-20,"10:25","N/A","1.617785604","N/A",2023,4,20,110
"w004Rm",2023-05-02,"11:52","520","4.595850622","2.297925311",2023,5,2,122
"w007Lm",2024-03-08,"12:15","732","12.2956327","6.147816349",2024,3,8,68
"w009Lm",2024-03-08,"12:00","1687","20.4567502","10.2283751",2024,3,8,68
"w001Rm",2024-03-22,"11:18","110","3.035878565","1.517939282",2024,3,22,82
"w003Rm",2024-03-22,"12:32","182","4.37850842","2.18925421",2024,3,22,82
"w004Rm",2024-03-22,"12:50","708","9.985895628","4.992947814",2024,3,22,82
"w007Lm",2024-03-22,"14:30","384.5","2.031346306","1.015673153",2024,3,22,82
"w009Lm",2024-03-22,"14:17","N/A","0","0",2024,3,22,82
"w004Rm",2023-05-16,"11:41","0","0","0",2023,5,16,136
"w007Lm",2023-05-02,"12:40","176","1.409708738","0.704854369",2023,5,2,122
"w009Lm",2023-05-02,"13:24","352.5","1.403761062","0.701880531",2023,5,2,122
"w001Rm",2023-05-02,"10:26","111","2.123154362","1.061577181",2023,5,2,122
"w007Lm",2023-05-16,"12:46","124.5","0.258133971","0.129066986",2023,5,16,136
"w009Lm",2023-05-16,"13:33","755","N/A","N/A",2023,5,16,136
"w001Rm",2023-05-16,"N/A","0","0","0",2023,5,16,136
"w003Rm",2023-05-02,"11:30","0","0","0",2023,5,2,122
"w003Rm",2023-05-16,"11:22","0","0","0",2023,5,16,136
"w008im",2023-05-02,"13:14","113.522036","2.803202347","1.401601174",2023,5,2,122
"w008im",2023-05-16,"13:25","N/A","0","0",2023,5,16,136
"w006Rm",2023-05-16,"12:00","258.5","1.201515662","0.600757831",2023,5,16,136
"w006Rm",2023-05-02,"12:33","402.5656962","22.07618334","11.03809167",2023,5,2,122
"w002Rm",2023-05-02,"10:58","N/A","1.472249878","N/A",2023,5,2,122
"w002Rm",2023-05-16,"10:55","N/A","0.374616169","N/A",2023,5,16,136
"w001Rm",2024-04-12,"11:10","54.6","0.914354067","0.457177033",2024,4,12,103
"w003Rm",2024-04-12,"12:50","127.5","1.093638313","0.546819157",2024,4,12,103
"w004Rm",2024-04-12,"13:08","368.5","2.025467204","1.012733602",2024,4,12,103
"w007Lm",2024-04-12,"14:45","500","1.975243613","0.987621807",2024,4,12,103
"w009Lm",2024-04-12,"15:45","841","4.266972699","2.133486349",2024,4,12,103
"w001Rm",2022-05-03,"15:34","137.5","3.015350877","1.507675439",2022,5,3,123
"w004Rm",2023-06-01,"14:58","0","0","0",2023,6,1,152
"w007Lm",2023-06-01,"15:48","0","0","0",2023,6,1,152
"w009Lm",2023-06-01,"16:51","0","0","0",2023,6,1,152
"w001Rm",2023-06-01,"N/A","0","0","0",2023,6,1,152
"w003Rm",2023-06-01,"N/A","0","0","0",2023,6,1,152
"w008im",2023-06-01,"16:30","0","0","0",2023,6,1,152
"w006Rm",2023-06-01,"15:29","0","0","0",2023,6,1,152
"w002Rm",2023-06-01,"14:11","N/A","0","0",2023,6,1,152
"w001Rm",2024-04-25,"10:30","0","0","0",2024,4,25,116
"w003Rm",2024-04-25,"11:50","0","0","0",2024,4,25,116
"w004Rm",2024-04-25,"12:30","216","1.655407323","0.827703662",2024,4,25,116
"w007Lm",2024-04-25,"14:03","502","3.121410256","1.560705128",2024,4,25,116
"w009Lm",2024-04-25,"14:49","837","3.788600168","1.894300084",2024,4,25,116
"w001Rm",2022-05-15,"12:47","342","4.133763094","2.066881547",2022,5,15,135
"w007Lm",2023-07-01,"N/A","0","0","0",2023,7,1,182
"w001Rm",2023-07-01,"N/A","0","0","0",2023,7,1,182
"w004Rm",2023-07-01,"N/A","0","0","0",2023,7,1,182
"w009Lm",2023-07-01,"N/A","0","0","0",2023,7,1,182
"w003Rm",2023-07-01,"N/A","0","0","0",2023,7,1,182
"w006Rm",2022-04-26,"13:30","N/A","12.47575953","N/A",2022,4,26,116
"w001Rm",2022-06-03,"14:30","120","1.722488038","0.861244019",2022,6,3,154
"w001Rm",2024-05-08,"10:44","0","0","0",2024,5,8,129
"w003Rm",2024-05-08,"11:46","0","0","0",2024,5,8,129
"w004Rm",2024-05-08,"12:02","0","0","0",2024,5,8,129
"w007Lm",2024-05-08,"13:15","376.5","0.693497882","0.346748941",2024,5,8,129
"w009Lm",2024-05-08,"14:06","639","1.808149406","0.904074703",2024,5,8,129
"w006Rm",2022-05-03,"13:14","18.8","1.861386139","0.930693069",2022,5,3,123
"w001Rm",2022-06-19,"13:44","37.375","0.254598093","0.127299046",2022,6,19,170
"w008im",2023-07-01,"N/A","0","0","0",2023,7,1,182
"w006Rm",2023-07-01,"N/A","0","0","0",2023,7,1,182
"w002Rm",2023-07-01,"N/A","N/A","0","0",2023,7,1,182
"w007Lm",2023-08-01,"N/A","0","0","0",2023,8,1,213
"w001Rm",2023-08-01,"N/A","0","0","0",2023,8,1,213
"w004Rm",2023-08-01,"N/A","0","0","0",2023,8,1,213
"w001Rm",2024-05-27,"11:01","0","0","0",2024,5,27,148
"w003Rm",2024-05-27,"N/A","0","0","0",2024,5,27,148
"w004Rm",2024-05-27,"12:26","251","0.194422928","0.097211464",2024,5,27,148
"w007Lm",2024-05-27,"14:15","340","0.428931876","0.214465938",2024,5,27,148
"w009Lm",2024-05-27,"15:11","621","1.417448643","0.708724322",2024,5,27,148
"w009Lm",2023-08-01,"N/A","0","0","0",2023,8,1,213
"w003Rm",2023-08-01,"N/A","0","0","0",2023,8,1,213
"w008im",2023-08-01,"N/A","0","0","0",2023,8,1,213
"w006Rm",2023-08-01,"N/A","0","0","0",2023,8,1,213
"w002Rm",2023-08-01,"N/A","N/A","0","0",2023,8,1,213
"w001Rm",2022-07-06,"N/A","56.25","0","0",2022,7,6,187
"w001Rm",2024-06-03,"10:39","0","0","0",2024,6,3,155
"w003Rm",2024-06-03,"10:39","0","0","0",2024,6,3,155
"w007Lm",2024-06-03,"13:14","468","2.474444836","1.237222418",2024,6,3,155
"w004Rm",2024-06-03,"11:35","368","0.879155883","0.439577941",2024,6,3,155
"w009Lm",2024-06-03,"14:00","888","5.037821483","2.518910741",2024,6,3,155
"w001Rm",2022-07-21,"N/A","N/A","0","0",2022,7,21,202
"w001Rm",2022-08-01,"N/A","N/A","0","0",2022,8,1,213
"w001Rm",2022-09-01,"N/A","N/A","0","0",2022,9,1,244
"w001Rm",2022-11-10,"10:00","N/A","0","0",2022,11,10,314
"w001Rm",2022-11-15,"11:09","N/A","0","0",2022,11,15,319
"w009Lm",2022-05-15,"14:20","660.625","8.798557159","4.399278579",2022,5,15,135
"w009Lm",2022-05-03,"10:30","770","13.93244873","6.966224367",2022,5,3,123
"w009Lm",2022-06-19,"15:11","977.5","10.8812616","5.440630798",2022,6,19,170
"w009Lm",2022-06-08,"14:02","441","2.602622951","1.301311475",2022,6,8,159
"w009Lm",2022-07-21,"10:30","0","0","0",2022,7,21,202
"w009Lm",2022-07-07,"N/A","0","0","0",2022,7,7,188
"w009Lm",2022-08-01,"N/A","0","0","0",2022,8,1,213
"w009Lm",2022-09-01,"N/A","0","0","0",2022,9,1,244
"w009Lm",2022-11-10,"11:52","0","0","0",2022,11,10,314
"w007Lm",2022-04-26,"10:20","247.5","7.882165605","3.941082803",2022,4,26,116
"w007Lm",2022-04-14,"10:07","N/A","N/A","N/A",2022,4,14,104
"w007Lm",2022-05-15,"10:35","212.5","3.134218289","1.567109145",2022,5,15,135
"w007Lm",2022-05-03,"14:47","345","20.1754386","10.0877193",2022,5,3,123
"w007Lm",2022-06-19,"11:30","161","2.375409836","1.187704918",2022,6,19,170
"w007Lm",2022-07-21,"N/A","N/A","0","0",2022,7,21,202
"w007Lm",2022-07-06,"16:00","107.625","0.592213866","0.296106933",2022,7,6,187
"w007Lm",2022-08-01,"16:00","0","0","0",2022,8,1,213
"w007Lm",2022-09-01,"16:00","0","0","0",2022,9,1,244
"w007Lm",2022-11-15,"12:05","N/A","0","0",2022,11,15,319
"w007Lm",2022-11-10,"11:30","N/A","0","0",2022,11,10,314
"w007Lm",2023-09-01,"N/A","0","0","0",2023,9,1,244
"w001Rm",2023-09-01,"N/A","0","0","0",2023,9,1,244
"w004Rm",2023-09-01,"N/A","0","0","0",2023,9,1,244
"w009Lm",2023-09-01,"N/A","0","0","0",2023,9,1,244
"w010im",2022-05-15,"13:49","420","22.63473054","11.31736527",2022,5,15,135
"w010im",2022-05-03,"10:30","519.75","48.87931034","24.43965517",2022,5,3,123
"w010im",2022-06-19,"14:50","N/A","0","0",2022,6,19,170
"w010im",2022-06-08,"13:10","38","0.833638026","0.416819013",2022,6,8,159
"w010im",2022-07-21,"N/A","N/A","0","0",2022,7,21,202
"w010im",2022-07-06,"N/A","N/A","0","0",2022,7,6,187
"w010im",2022-08-01,"N/A","N/A","0","0",2022,8,1,213
"w010im",2022-09-01,"N/A","N/A","0","0",2022,9,1,244
"w010im",2022-11-15,"13:05","N/A","0","0",2022,11,15,319
"w010im",2022-11-10,"12:08","N/A","0","0",2022,11,10,314
"w006Rm",2024-01-11,"12:05","713.4060826","65.79332769","32.89666385",2024,1,11,11
"w008im",2024-01-11,"13:05","532.0567416","25.9022037","12.95110185",2024,1,11,11
"w006Rm",2024-01-24,"14:45","968.4491513","106.2741403","53.13707016",2024,1,24,24
"w008im",2024-01-24,"9:45","1067.755436","54.36818162","27.18409081",2024,1,24,24
"w003Rm",2023-09-01,"N/A","0","0","0",2023,9,1,244
"w008im",2023-09-01,"N/A","0","0","0",2023,9,1,244
"w006Rm",2023-09-01,"N/A","0","0","0",2023,9,1,244
"w002Rm",2023-09-01,"N/A","N/A","0","0",2023,9,1,244
"w007Lm",2023-10-19,"14:45","N/A","0","0",2023,10,19,292
"w008im",2022-04-14,"16:20","1008.386689","38.54914644","19.27457322",2022,4,14,104
"w001Rm",2023-10-19,"13:30","0","0","0",2023,10,19,292
"w009Lm",2023-10-19,"15:35","N/A","0","0",2023,10,19,292
"w003Rm",2023-10-19,"14:10","N/A","N/A","N/A",2023,10,19,292
"w008im",2023-10-19,"15:30","N/A","N/A","N/A",2023,10,19,292
"w006Rm",2023-10-19,"14:30","0","0","0",2023,10,19,292
"w002Rm",2023-10-19,"13:45","N/A","0","0",2023,10,19,292
"w001Rm",2023-11-07,"13:25","433.8","8.388912763","4.194456382",2023,11,7,311
"w004Rm",2023-11-07,"15:05","837","11.64158345","5.820791726",2023,11,7,311
"w007Lm",2023-11-07,"15:43","458.5","8.656516353","4.328258176",2023,11,7,311
"w006Rm",2024-02-13,"15:26","605.2884075","49.39153405","24.69576703",2024,2,13,44
"w001Rm",2023-11-23,"11:11","152.5","4.980947197","2.490473598",2023,11,23,327
"w007Lm",2023-11-23,"15:15","438.75","1.986792453","0.993396226",2023,11,23,327
"w009Lm",2023-11-07,"16:17","911.75","8.810468521","4.405234261",2023,11,7,311
"w004Rm",2023-11-23,"12:50","745.85","18.5765878","9.288293898",2023,11,23,327
"w008im",2024-02-13,"16:04","312.6063715","13.4636305","6.731815249",2024,2,13,44
"w009Lm",2023-11-23,"14:45","747.5","3.972893968","1.986446984",2023,11,23,327
"w003Rm",2023-11-07,"14:41","895","9.891265597","4.945632799",2023,11,7,311
"w006Rm",2024-02-29,"13:54","768.8191607","70.61643799","35.308219",2024,2,29,60
"w008im",2024-02-29,"15:03","665.4740631","32.2857247","16.14286235",2024,2,29,60
"w003Rm",2023-11-23,"13:15","118.75","3.551844467","1.775922233",2023,11,23,327
"w008im",2024-03-01,"10:30","611.2838643","34.31440097","17.15720049",2024,3,1,61
"w006Rm",2024-03-22,"13:15","451.2944829","23.75847084","11.87923542",2024,3,22,82
"w008im",2024-03-08,"11:40","312.6063715","11.97550052","5.98775026",2024,3,8,68
"w008im",2024-03-22,"14:04","113.522036","3.046119149","1.523059574",2024,3,22,82
"w008im",2023-11-07,"16:09","949.5254788","34.26605455","17.13302727",2023,11,7,311
"w008im",2023-11-23,"14:35","268.3755453","8.957272439","4.47863622",2023,11,23,327
"w006Rm",2023-11-07,"15:24","402.5656962","31.17820882","15.58910441",2023,11,7,311
"w006Rm",2023-11-23,"13:45","147.1509979","8.170605219","4.085302609",2023,11,23,327
"w006Rm",2023-11-07,"15:24","N/A","N/A","N/A",2023,11,7,311
"w002Rm",2023-11-07,"14:00","N/A","3.532199629","N/A",2023,11,7,311
"w002Rm",2023-11-23,"11:55","N/A","2.759093021","N/A",2023,11,23,327
"w006Rm",2024-04-12,"13:54","332.3291896","15.29674068","7.648370338",2024,4,12,103
"w008im",2024-04-12,"15:30","178.3535135","4.22452666","2.11226333",2024,4,12,103
"w001Rm",2023-12-07,"10:40","280","21.42857143","10.71428571",2023,12,7,341
"w008im",2022-04-26,"13:12","1127.560563","53.03099023","26.51549512",2022,4,26,116
"w006Rm",2024-04-25,"13:21","355.3379288","12.97689536","6.48844768",2024,4,25,116
"w007Lm",2023-12-04,"13:15","940.625","24.90622242","12.45311121",2023,12,4,338
"w008im",2024-04-25,"15:09","178.3535135","3.85982651","1.929913255",2024,4,25,116
"w001Rm",2023-12-07,"10:40","280","21.13207547","10.56603774",2023,12,7,341
"w008im",2022-05-03,"10:46","1187.732462","58.74460556","29.37230278",2022,5,3,123
"w006Rm",2024-05-08,"12:25","224.1121975","4.678081274","2.339040637",2024,5,8,129
"w004Rm",2023-12-07,"11:45","1943.5","51.37004405","25.68502203",2023,12,7,341
"w008im",2022-05-15,"14:00","1038.012107","41.00069406","20.50034703",2022,5,15,135
"w006Rm",2024-05-27,"13:05","203.9902893","0","0",2024,5,27,148
"w008im",2024-05-08,"14:24","10.36230059","0","0",2024,5,8,129
"w008im",2022-06-08,"12:20","776.7286736","12.57442916","6.287214582",2022,6,8,159
"w007Lm",2023-12-07,"13:00","1007.5","44.15631848","22.07815924",2023,12,7,341
"w009Lm",2023-12-07,"14:00","1897","55.57617188","27.78808594",2023,12,7,341
"w008im",2024-05-27,"14:55","10.53246625","0","0",2024,5,27,148
"w001Rm",2023-12-14,"12:00","217.4","13.93589744","6.967948718",2023,12,14,348
"w006Rm",2024-06-03,"12:41","265.9489562","9.155178376","4.577589188",2024,6,3,155
"w008im",2024-06-03,"13:44","54.19851699","0.773479576","0.386739788",2024,6,3,155
"w008im",2022-06-19,"15:41","833.6199454","14.3551755","7.177587748",2022,6,19,170
"w008im",2022-07-21,"10:15","0","0","0",2022,7,21,202
"w008im",2022-08-01,"N/A","0","0","0",2022,8,1,213
"w008im",2022-09-01,"N/A","0","0","0",2022,9,1,244
"w008im",2022-11-15,"12:26","0","0","0",2022,11,15,319
"w002Rm",2024-01-11,"10:56","N/A","6.411092622","N/A",2024,1,11,11
"w004Rm",2023-12-14,"14:30","1093.75","29.58746619","14.79373309",2023,12,14,348
"w007Lm",2023-12-14,"11:00","816","19.42086474","9.710432368",2023,12,14,348
"w009Lm",2023-12-14,"16:10","977.25","21.33733624","10.66866812",2023,12,14,348
"w002Rm",2024-01-24,"12:25","N/A","10.36866359","N/A",2024,1,24,24
"w001Rm",2023-12-27,"13:40","114","2.389937107","1.194968553",2023,12,27,361
"w003Rm",2023-12-04,"13:15","257.425","23.22631579","11.61315789",2023,12,4,338
"w004Rm",2023-12-27,"14:50","489","11.0550113","5.527505652",2023,12,27,361
"w002Rm",2022-04-26,"11:31","N/A","4.802635085","N/A",2022,4,26,116
"w003Rm",2022-04-14,"N/A","N/A","2.820296192","N/A",2022,4,14,104
"w007Lm",2023-12-27,"15:45","331","1.357299071","0.678649535",2023,12,27,361
"w009Lm",2023-12-27,"16:36","585","3.507895263","1.753947631",2023,12,27,361
"w008im",2023-12-04,"12:40","720.6518906","30.40795388","15.20397694",2023,12,4,338
"w008im",2023-12-07,"13:45","776.7286736","31.87025723","15.93512862",2023,12,7,341
"w002Rm",2024-02-13,"13:30","N/A","4.232864391","N/A",2024,2,13,44
"w008im",2023-12-14,"16:00","720.6518906","27.91096211","13.95548106",2023,12,14,348
"w002Rm",2024-02-29,"12:08","N/A","N/A","N/A",2024,2,29,60
"w006Rm",2023-12-04,"13:30","N/A","N/A","N/A",2023,12,4,338
"w008im",2023-12-14,"16:00","720.6518906","35.49913754","17.74956877",2023,12,14,348
"w002Rm",2024-03-22,"12:01","N/A","2.400243811","N/A",2024,3,22,82
"w008im",2023-12-27,"16:00","N/A","N/A","N/A",2023,12,27,361
"w003Rm",2023-12-07,"11:30","434","35.96685083","17.98342541",2023,12,7,341
"w006Rm",2023-12-07,"12:09","501.3995927","45.03985774","22.51992887",2023,12,7,341
"w003Rm",2023-12-14,"14:04","352.5","25.17857143","12.58928571",2023,12,14,348
"w003Rm",2023-12-27,"14:32","160.5","5.440677966","2.720338983",2023,12,27,361
"w002Rm",2024-04-12,"11:50","N/A","1.494425618","N/A",2024,4,12,103
"w003Rm",2022-04-26,"11:03","N/A","7.325581395","N/A",2022,4,26,116
"w006Rm",2023-12-14,"15:45","713.4060826","59.59657693","29.79828846",2023,12,14,348
"w002Rm",2024-04-25,"11:22","N/A","0.516323731","N/A",2024,4,25,116
"w002Rm",2022-05-03,"12:09","N/A","10.95860566","N/A",2022,5,3,123
"w003Rm",2022-05-03,"12:36","N/A","0.742264732","N/A",2022,5,3,123
"w006Rm",2022-05-15,"13:27","12.25","1.323","0.6615",2022,5,15,135
"w002Rm",2023-12-07,"11:07","N/A","7.078421169","N/A",2023,12,7,341
"w002Rm",2022-05-15,"12:03","N/A","3.083248759","N/A",2022,5,15,135
"w003Rm",2022-05-15,"11:34","N/A","0","N/A",2022,5,15,135
"w002Rm",2024-05-08,"11:07","N/A","0.24105554","N/A",2024,5,8,129
"w002Rm",2022-06-03,"15:28","N/A","0.950186231","N/A",2022,6,3,154
"w003Rm",2022-06-03,"15:50","N/A","0","N/A",2022,6,3,154
"w002Rm",2023-12-14,"13:26","N/A","6.441810794","N/A",2023,12,14,348
"w002Rm",2024-05-27,"11:31","N/A","0.083951543","N/A",2024,5,27,148
"w002Rm",2023-12-27,"14:04","N/A","3.453831942","N/A",2023,12,27,361
"w002Rm",2022-06-19,"N/A","N/A","0","N/A",2022,6,19,170
"w003Rm",2022-06-19,"12:26","N/A","0","N/A",2022,6,19,170
"w006Rm",2022-06-03,"16:20","N/A","1.948316385","N/A",2022,6,3,154
"w002Rm",2024-06-03,"11:07","N/A","0.228319798","N/A",2024,6,3,155
"w002Rm",2022-07-07,"N/A","N/A","0","N/A",2022,7,7,188
"w003Rm",2022-07-06,"17:00","N/A","0","N/A",2022,7,6,187
"w006Rm",2022-06-19,"14:20","N/A","1.980231613","N/A",2022,6,19,170
"w003Rm",2022-07-21,"11:45","N/A","0","N/A",2022,7,21,202
"w002Rm",2022-07-21,"N/A","N/A","0","N/A",2022,7,21,202
"w002Rm",2022-08-01,"N/A","N/A","0","N/A",2022,8,1,213
"w002Rm",2022-09-01,"N/A","N/A","0","N/A",2022,9,1,244
"w002Rm",2022-11-15,"12:35","N/A","0","N/A",2022,11,15,319
"w003Rm",2022-08-01,"11:45","N/A","0","N/A",2022,8,1,213
"w003Rm",2022-09-01,"11:45","N/A","0","N/A",2022,9,1,244
"w003Rm",2022-11-15,"12:26","N/A","2.020670778","N/A",2022,11,15,319
"w006Rm",2023-12-27,"14:35","796.8265454","57.1161684","28.5580842",2023,12,27,361
"w006Rm",2022-07-21,"12:23","N/A","N/A","N/A",2022,7,21,202
"w006Rm",2022-08-01,"12:23","N/A","0","N/A",2022,8,1,213
"w006Rm",2022-09-01,"12:23","N/A","0","N/A",2022,9,1,244
"w006Rm",2022-11-15,"11:53","N/A","0","N/A",2022,11,15,319
"w006Rm",2022-11-10,"12:33","N/A","0","N/A",2022,11,10,314
